id,x,y,z,hit,net,bounce,time,shotId
1065141,9.558,-2.062,0.037,0,0,1,13.495,385942
1065142,12.254,-2.017,0.754,1,0,0,13.691,385943
1065143,9.071,-1.117,0.037,0,0,1,13.860,385943
1065144,11.394,-1.108,2.855,1,0,0,0.882,385944
1065145,0.019,-0.402,1.182,0,1,0,1.130,385944
1065146,-11.385,-0.536,2.722,1,0,0,1.180,385945
1065147,-5.789,-0.223,0.037,0,0,1,1.280,385944
1065148,-0.006,0.646,1.229,0,1,0,1.482,385945
1065149,5.009,1.454,0.037,0,0,1,1.643,385945
1065150,11.578,2.448,1.451,1,0,0,1.994,385946
1065151,0.008,0.232,2.328,0,1,0,2.521,385946
1065152,-9.922,-1.168,0.037,0,0,1,3.098,385946
1065153,-13.698,-1.795,1.393,1,0,0,3.527,385947
1065154,-0.011,-3.204,1.748,0,1,0,3.979,385947
1065155,8.368,-4.484,0.037,0,0,1,4.341,385947
1065156,-11.385,1.604,2.724,1,0,0,1.025,385948
1065157,-0.003,-1.983,1.420,0,1,0,1.354,385948
1065158,5.577,-3.365,0.037,0,0,1,1.549,385948
1065159,9.911,-4.596,1.375,1,0,0,1.805,385949
1065160,0.006,-1.432,1.139,0,1,0,2.180,385949
1065161,-6.243,0.396,0.037,0,0,1,2.462,385949
1065162,-11.861,1.949,0.730,1,0,0,2.861,385950
1065163,-0.006,0.027,1.866,0,1,0,3.293,385950
1065164,11.155,-1.578,0.037,0,0,1,3.829,385950
1065165,12.340,-1.799,0.489,1,0,0,3.929,385951
1065166,0.007,1.195,4.750,0,1,0,4.693,385951
1065167,-11.482,2.825,0.037,0,0,1,5.672,385951
1065168,-13.770,3.370,1.978,1,0,0,6.025,385952
1065169,-0.007,0.002,2.301,0,1,0,6.469,385952
1065170,12.110,-3.770,0.037,0,0,1,7.014,385952
1065171,13.220,-4.092,0.335,1,0,0,7.076,385953
1065172,11.394,0.869,2.889,1,0,0,0.609,385954
1065173,0.014,-1.191,1.245,0,1,0,0.864,385954
1065174,-11.388,-0.473,2.677,1,0,0,1.020,385955
1065175,-6.182,-2.518,0.037,0,0,1,1.032,385954
1065176,-0.005,0.535,0.993,0,1,0,1.328,385955
1065177,3.686,1.063,0.037,0,0,1,1.448,385955
1065178,-11.499,-3.703,1.065,1,0,0,1.258,385956
1065179,10.546,1.733,1.602,1,0,0,1.821,385957
1065180,5.323,-0.501,1.058,1,0,0,2.450,385958
1065181,0.008,0.102,1.483,0,1,0,2.373,385957
1065182,0.005,0.751,1.428,0,1,0,2.683,385958
1065183,-7.345,-1.118,0.037,0,0,1,2.860,385957
1065184,-10.824,3.765,0.037,0,0,1,3.271,385958
1065185,-10.772,-1.782,0.664,1,0,0,3.240,385959
1065186,-0.011,0.835,1.200,0,1,0,3.572,385959
1065187,7.920,2.940,0.037,0,0,1,3.883,385959
1065188,12.612,4.163,1.018,1,0,0,4.185,385960
1065189,0.007,0.741,1.807,0,1,0,4.643,385960
1065190,-9.427,-1.865,0.037,0,0,1,5.091,385960
1065191,-12.702,-2.845,1.012,1,0,0,5.377,385961
1065192,-0.002,-1.835,2.444,0,1,0,5.859,385961
1065193,12.984,-1.191,0.037,0,0,1,6.524,385961
1065194,15.496,-0.731,0.902,1,0,0,6.680,385962
1065195,9.620,-2.812,0.037,0,0,1,7.237,385962
1065196,-11.383,1.309,2.748,1,0,0,0.947,385963
1065197,-0.018,-1.948,1.204,0,1,0,1.205,385963
