id,playerName,playerNumber,speed,shotType,spin,spinRpm,pointId,isServe,distance,result
390297,FEDERER,ATPF324,53.87,BACKHAND,BACKSPIN,3015.99,113051,0,NULL,NULL
390298,DJOKOVIC,ATPD643,76.08,BACKHAND,TOPSPIN,2490.95,113051,0,NULL,NULL
390299,FEDERER,ATPF324,73.37,BACKHAND,TOPSPIN,1638.22,113051,0,NULL,NULL
390300,DJOKOVIC,ATPD643,79.54,FOREHAND,TOPSPIN,3314.25,113051,0,NULL,NULL
390301,FEDERER,ATPF324,49.54,BACKHAND,BACKSPIN,2252.69,113051,0,NULL,NULL
390302,DJOKOVIC,ATPD643,119.24,NOT LOGGED,NOSPIN,0.00,113053,1,NULL,NULL
390303,DJOKOVIC,ATPD643,85.74,NOT LOGGED,NOSPIN,0.00,113054,1,NULL,NULL
390304,FEDERER,ATPF324,54.02,BACKHAND,BACKSPIN,3707.14,113054,0,NULL,NULL
390305,DJOKOVIC,ATPD643,65.29,BACKHAND,TOPSPIN,2252.15,113054,0,NULL,NULL
390306,FEDERER,ATPF324,80.92,FOREHAND,TOPSPIN,3857.16,113054,0,NULL,NULL
390307,DJOKOVIC,ATPD643,77.57,BACKHAND,TOPSPIN,1534.38,113054,0,NULL,NULL
390308,FEDERER,ATPF324,71.81,FOREHAND,TOPSPIN,3111.24,113054,0,NULL,NULL
390309,DJOKOVIC,ATPD643,86.38,FOREHAND,TOPSPIN,1882.44,113054,0,NULL,NULL
390310,FEDERER,ATPF324,68.36,BACKHAND,TOPSPIN,2238.92,113054,0,NULL,NULL
390311,DJOKOVIC,ATPD643,119.13,NOT LOGGED,NOSPIN,0.00,113055,1,NULL,NULL
390312,DJOKOVIC,ATPD643,87.51,NOT LOGGED,NOSPIN,0.00,113056,1,NULL,NULL
390313,FEDERER,ATPF324,52.87,BACKHAND,BACKSPIN,3310.48,113056,0,NULL,NULL
390314,DJOKOVIC,ATPD643,119.26,NOT LOGGED,NOSPIN,0.00,113057,1,NULL,NULL
390315,DJOKOVIC,ATPD643,72.13,BACKHAND,TOPSPIN,2342.62,113056,0,NULL,NULL
390316,FEDERER,ATPF324,79.20,BACKHAND,TOPSPIN,2865.43,113056,0,NULL,NULL
390317,DJOKOVIC,ATPD643,74.24,BACKHAND,TOPSPIN,2027.61,113056,0,NULL,NULL
390318,FEDERER,ATPF324,84.82,FOREHAND,TOPSPIN,2848.09,113056,0,NULL,NULL
390319,DJOKOVIC,ATPD643,47.01,BACKHAND,NOSPIN,0.00,113056,0,NULL,NULL
390320,FEDERER,ATPF324,100.67,BACKHAND,TOPSPIN,903.61,113056,0,NULL,NULL
390321,FEDERER,ATPF324,120.53,NOT LOGGED,NOSPIN,0.00,113058,1,NULL,NULL
390322,DJOKOVIC,ATPD643,68.62,BACKHAND,TOPSPIN,1470.33,113058,0,NULL,NULL
390323,FEDERER,ATPF324,120.99,NOT LOGGED,NOSPIN,0.00,113059,1,NULL,NULL
390324,DJOKOVIC,ATPD643,100.67,BACKHAND,NOSPIN,0.00,113059,0,NULL,NULL
